Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Norway,1991,98551.5,4249830,36694.92,195910,38380,48650,42410,324510,29350,146,2,1,3,0,11
Switzerland,1991,217731.6,6757188,50666.87,141350,16620,25350,36390,287880,67840,351,3,6,Not Available,Not Available,Not Available
United Kingdom,1991,924332,57338199,814847.64,3097190,246070,385190,3518310,2909520,316010,2665,26,38,48,360,169
Belgium,1992,NaN,10021997,145717.69,429980,47320,64900,356880,340730,128520,250,7,6,9,77,46
Bulgaria,1992,NaN,8595465,57260.55,182530,22240,43510,887120,407250,90010,250,3,2,12,25,11
Czechia,1992,NaN,10312548,164524.98,672270,191920,280140,1381970,481740,151130,269,3,5,40,40,21
Denmark,1992,118194.2,5162126,82928.63,308090,25280,36540,184160,223470,122500,100,1,3,1,19,5
Germany,1992,1647737.1,80274564,1109104.76,2479710,223070,362270,3247350,3065350,635860,1129,23,25,38,286,116
Estonia,1992,NaN,1554878,25110.71,49340,23390,57200,192710,43350,16920,127,3,1,14,17,14
Ireland,1992,NaN,3547492,61032.23,181410,27760,42980,170970,142300,114380,150,1,1,2,24,4
Greece,1992,NaN,10367163,102322.57,415930,62270,88440,516810,312170,84030,450,8,2,3,45,6
Spain,1992,NaN,39051336,272960.09,1418940,186730,257690,2042680,1028010,446080,1124,25,12,15,210,31
France,1992,1083285.9,58604851,536828.27,2076380,445350,562220,1226860,2842480,651320,2090,20,25,19,256,294
Croatia,1992,NaN,4595865,15545.11,79620,35410,43050,104770,103110,50030,257,1,1,1,13,4
Italy,1992,NaN,56772923,503172.78,2230410,228420,291640,1573960,2133670,460770,2460,11,15,36,109,77
